"id","name","family","claim","key_number","formula","evidence_grade","design_lever","anti_pattern","symptoms","applies_to","conflicts_with","ethics_axis","quote","source"
"postels-law","Postel's Law","interaction","Be liberal in the syntax you accept from a human and strict about the semantics you require from them.","none; RFC 761 (1980) / RFC 793 (1981)","","heuristic","Run all four steps in order: accept variable input, translate it to your requirements, define the boundary, then echo the parsed result back so a misreading is visible.","Do not carry liberal acceptance past the presentation layer. Fuzzy-matching a login identifier, or accepting anything into the trust boundary, is a security hole dressed as kindness.","the form rejects my phone number|why can I not paste my card number|validation only fails on submit|it will not take a space in the postcode","form|checkout|search|settings","hicks-law","protective","Be liberal in what you accept, and conservative in what you send. - lawsofux.com","laws-of-ux/02-interaction-and-system-response.md#5-postels-law"
"teslers-law","Tesler's Law","interaction","Every process has a core of complexity that cannot be removed, only allocated between the system and the user.","engineer-week ~40 h vs user-minute x 100k users ~1,667 h","C_total = C_system + C_user >= C_inherent","heuristic","For every proposed simplification, name who now does the work and whether you can see them doing it. If the answer is support or the customer's ops team, the simplification is fake.","Do not strip an interface to three buttons and call it simple when the removed capability became contact support. C_user went up and only the screenshot improved.","we simplified it and support tickets went up|the new version cannot do what I need|it looks clean but I cannot finish the task|users email us to change it now","settings|form|dashboard|onboarding","occams-razor|hicks-law|doherty-threshold|cognitive-load","protective","All processes have a core of complexity that cannot be designed away and therefore must be assumed by either the system or the user. - lawsofux.com","laws-of-ux/02-interaction-and-system-response.md#6-teslers-law"
"law-of-pragnanz","Law of Pragnanz","perception","When a visual field admits several readings, perception collapses pre-consciously to the one with fewest parts and most regularity.","none","","replicated","Blur the mock to 8 px, count the units you see and where the boundaries fall, then compare that list against the information architecture you intended.","Do not use it as an argument for removing labels. Pragnanz finds a simplest reading, not the correct one, and bare glyphs get confidently read as the wrong affordance.","is this a button|the icon-only toolbar confuses people|the layout reads wrong at a glance|users cannot tell what is clickable","nav|dashboard|form|empty-state","von-restorff-effect","neutral","People will perceive and interpret ambiguous or complex images as the simplest form possible. - lawsofux.com","laws-of-ux/03-gestalt-and-perception.md#1-law-of-prägnanz"
"law-of-proximity","Law of Proximity","perception","Elements group when the gap between them is smaller than the gap to everything else; grouping reads the ratio, not the absolute distance.","between-group gap / within-group gap >= 2 (marginal at 1.5)","","replicated","Make the between-group gap at least twice the within-group gap - 8 px inside a field group, 24 px between groups - before you reach for a border.","Do not set a label 12 px above its input and 12 px below the previous input. Every label becomes ambiguous and users answer the wrong question.","users answer the wrong field|the caption looks like it belongs to the next image|everything runs together|the spacing is uniform everywhere","form|settings|table|nav","law-of-common-region|law-of-uniform-connectedness","neutral","Objects that are near, or proximate to each other, tend to be grouped together. - lawsofux.com","laws-of-ux/03-gestalt-and-perception.md#2-law-of-proximity"
"law-of-similarity","Law of Similarity","perception","Elements sharing a visual attribute are perceived as related and as sharing function, even when they are far apart.","none; WCAG 1.4.1 forbids colour as the only channel","","replicated","Enforce the invariant in both directions: same appearance means same behaviour, and different behaviour means different appearance. Exactly one primary button style per view.","Do not style a destructive action with the secondary-button token. Similarity is the only grouping cue that can assert something false, and design systems enforce only half the invariant.","two primary buttons on one screen|users click the wrong action|status colours mean different things on different pages|the disabled state looks like body text","form|table|dashboard|modal","law-of-common-region|von-restorff-effect","neutral","Ensure that links and navigation systems are visually differentiated from normal text elements. - lawsofux.com","laws-of-ux/03-gestalt-and-perception.md#3-law-of-similarity"
"law-of-common-region","Law of Common Region","perception","Elements inside a bounded area group together, and this beats proximity and similarity when the cues are put in conflict.","Palmer 1992; background tint ~3-5% luminance delta suffices; ~2 nesting levels maximum","","replicated","Escalate grouping strength in order - gap, background tint, border, elevation - and only when the previous rung visibly fails a squint test.","Do not draw a card you cannot name. A region is a semantic claim, so if you cannot say which entity it represents it should have been spacing instead.","the page is card soup|too many boxes|the grouping disappears in dark mode|nested cards with no hierarchy","dashboard|settings|form|table","law-of-proximity|law-of-similarity","neutral","Elements tend to be perceived into groups if they are sharing an area with a clearly defined boundary. - lawsofux.com","laws-of-ux/03-gestalt-and-perception.md#4-law-of-common-region"
"law-of-uniform-connectedness","Law of Uniform Connectedness","perception","Visibly connected elements read as more related than unconnected ones: a connector defeats a gap and a gap never defeats a connector.","Palmer & Rock 1994; connectors below ~3:1 contrast stop working","","contested","Spend connectors only on relations that carry more than membership - sequence, hierarchy, dependency, shared state - and express membership with spacing or a region.","Do not float a tab bar with a gap beneath it. The merged edge between active tab and panel is the cue that the panel belongs to that tab, and without it the panel is misread.","the stepper does not read as steps|users do not connect the tab to its content|the table has lines everywhere|the flow diagram arrows mean nothing","nav|form|table|dashboard","law-of-proximity","neutral","Elements that are visually connected are perceived as more related than elements with no connection. - lawsofux.com","laws-of-ux/03-gestalt-and-perception.md#5-law-of-uniform-connectedness"
"aesthetic-usability-effect","Aesthetic-Usability Effect","perception","Attractive interfaces are rated as more usable and forgiven minor problems, chiefly on first impression rather than in daily use.","Kurosu & Kashimura 1995: 26 ATM variants, 252 participants; Tuch 2012, n=80, found no effect","","contested","Weight behavioural metrics above self-report, log them separately rather than blending them, and hold visual fidelity constant across any two arms you compare.","Do not accept a satisfaction score from a polished prototype as usability evidence. A large gap between no problems reported and task failed is the signature of this effect, not noise.","it tested well but the funnel is bad|users said they liked it and still could not finish|which of these two mocks should we ship|the exec approved it from a screenshot","onboarding|checkout|pricing|empty-state","occams-razor","persuasive","Visually pleasing design can mask usability problems and prevent issues from being discovered during usability testing. - lawsofux.com","laws-of-ux/03-gestalt-and-perception.md#6-aesthetic-usability-effect"
"goal-gradient","Goal-Gradient Effect","motivation","Effort accelerates as perceived remaining distance to a goal shrinks, so abandonment is front-loaded rather than concentrated at the end.","19% to 34% completion (Nunes & Dreze 2006, n~300, 9 months)","V(D) = A*e^(-k*D)","replicated","Show fractional progress, pre-tick the steps the user genuinely already completed, and measure abandonment per step rather than in aggregate.","Never let the denominator change after the flow starts. A counter whose total grows mid-flow inverts the effect into betrayal at the exact moment the user notices.","nobody finishes onboarding|users drop out of the signup form|the checkout has too many steps|activation stalls early","onboarding|form|checkout|empty-state","parkinsons-law","persuasive","The tendency to approach a goal increases with proximity to the goal. - lawsofux.com","laws-of-ux/04-motivation-and-memory-bias.md#1-goal-gradient-effect"
"zeigarnik-effect","Zeigarnik Effect","motivation","Interrupted tasks are remembered better than completed ones. The pooled recall advantage across the literature is approximately zero.","pooled interrupted:completed recall ~ 0.99 (Ghibellini & Meier 2025); Ovsiankina resumption ~ two-thirds","","null-result","Cite resumption rather than recall: build saved drafts, abandoned-cart re-entry and resume-where-you-left-off, and give every loop you open a reachable close.","Do not build an uncleanable badge or an endless feed and call it Zeigarnik. The recall claim is null, and a badge that never reaches zero destroys the signal value of every badge you ship.","users never come back to finish|the unread count never clears|people abandon halfway and never return|should we add a red dot","notification|onboarding|form|empty-state","flow|cognitive-load","persuasive","People remember uncompleted or interrupted tasks better than completed tasks. - lawsofux.com","laws-of-ux/04-motivation-and-memory-bias.md#2-zeigarnik-effect"
"peak-end-rule","Peak-End Rule","motivation","An episode is judged by its most intense moment and its final moment rather than by its sum or its duration.","colonoscopy RCT n=682; cold pressor 60 s at 14 C vs 60 s + 30 s at 15 C; end window ~ last 3 min","R ~ (U_peak + U_end)/2","replicated","Find and remove the worst moment first using error-rate and support-ticket data, then design the terminal screen of each bounded task rather than of the product.","Do not fire confetti over a flow that just lost the user's data. Negativity bias makes the peak negative in most software, and a celebration on top of it reads as mockery.","users remember the one time it broke|the confirmation screen is an afterthought|churned customers warn other people|the cancellation flow is hostile","checkout|onboarding|form|settings","flow|parkinsons-law","persuasive","People judge an experience largely based on how they felt at its peak and at its end, rather than the total sum or average of every moment. - lawsofux.com","laws-of-ux/04-motivation-and-memory-bias.md#3-peak-end-rule"
"von-restorff-effect","Von Restorff Effect","motivation","In a homogeneous set the item that differs is found and remembered best, so salience is a zero-sum budget.","distinctiveness ~ (n-k)/n per emphasised item","","replicated","Budget one pre-attentive isolate per viewport and at most one secondary, and verify each survives greyscale rendering and prefers-reduced-motion.","Do not let every stakeholder win their component a highlight. When twelve items among twelve are emphasised, nothing is emphasised and the page is merely loud.","users do not see the primary action|everything on the page shouts|which plan should we highlight|the status dots are colour only","pricing|dashboard|form|notification","jakobs-law|law-of-pragnanz|law-of-similarity|selective-attention","persuasive","Use restraint when placing emphasis on visual elements to avoid them competing with one another. - lawsofux.com","laws-of-ux/04-motivation-and-memory-bias.md#4-von-restorff-effect"
"flow","Flow","motivation","Absorption requires perceived challenge and perceived skill to be matched and both above that individual's own average.","latency budget 400 ms (Doherty), ~100 ms per interaction","C/S ~ 1 AND C > C_mean, S > S_mean","heuristic","Treat it as a list of things not to do: no interruption during an active task, no unfed wait over 400 ms, no forced mode switch, no difficulty fixed at design time.","Do not conflate flow with ease. Matched challenge and skill at low levels produces apathy, and a goal of make everything effortless targets relaxation instead.","power users say the tool gets in the way|the modal interrupts my work|experts find it tedious and novices find it terrifying|I lose my place every time it saves","dashboard|form|settings|search","peak-end-rule|zeigarnik-effect","neutral","The mental state in which a person performing some activity is fully immersed in a feeling of energized focus, full involvement, and enjoyment. - lawsofux.com","laws-of-ux/04-motivation-and-memory-bias.md#5-flow"
"parkinsons-law","Parkinson's Law","motivation","A task expands to fill the time allowed, and satisfaction tracks the gap between expected and actual duration.","bureaucracy growth 5-7% per year (Parkinson 1955)","Satisfaction ~ (T_expected - T_actual)","heuristic","Give the task the smallest honest container you can and beat it: cut fields, set every autocomplete attribute, state the true duration, finish under it.","Do not read this as impose time pressure. A countdown that resets on reload compresses deliberation with a false claim and is actionable in several jurisdictions.","the form takes too long|users abandon at the address step|should we add a countdown to the offer|we say two minutes and it takes fifteen","form|checkout|onboarding|pricing","goal-gradient|peak-end-rule","neutral","Any task will inflate until all of the available time is spent. - lawsofux.com","laws-of-ux/04-motivation-and-memory-bias.md#6-parkinsons-law"
"choice-overload","Choice Overload","decision","A large assortment suppresses choice and satisfaction only when the options must be evaluated rather than merely recognised.","30% vs 3% purchase at 6 vs 24 jams (Iyengar & Lepper 2000); meta-analytic mean ~ 0 (Scheibehenne 2010, N=5036)","","contested","Run the four-part check before cutting anything - set complexity, task difficulty, preference uncertainty, decision goal - and name which moderator is active here.","Do not delete a capability because users seem overwhelmed. The evidence supports staging the set, not shrinking it, and the effect vanishes for a returning user who knows what they want.","too many plans to choose from|users bounce off the catalogue|the settings page is overwhelming|should we cut the product range","pricing|search|settings|checkout","hicks-law|pareto-principle","neutral","The tendency for people to get overwhelmed when they are presented with a large number of options. - lawsofux.com","laws-of-ux/05-decision-making-and-simplicity.md#1-choice-overload"
"occams-razor","Occam's Razor","decision","Among designs that serve the task equally well, the one with the fewest parts should be selected.","none","prefer minimum L(H) + L(D|H)","heuristic","Ask of each element: what breaks if this is gone? If nobody can name a user-visible consequence, remove it. That turns an aesthetic into a testable claim per element.","Do not drop the clause that predict equally well. Stripping labels off icons, or hiding desktop navigation behind a hamburger, trades visible complexity for hidden search cost.","this screen has too much on it|can we remove this field|the design feels cluttered|do we need this setting","form|dashboard|nav|settings","teslers-law|jakobs-law|mental-model|aesthetic-usability-effect","neutral","Among competing hypotheses that predict equally well, the one with the fewest assumptions should be selected. - lawsofux.com","laws-of-ux/05-decision-making-and-simplicity.md#2-occams-razor"
"pareto-principle","Pareto Principle","decision","Impact is skewed, so a small share of inputs produces most of the outcome. The exact ratio is a free parameter, not a constant.","80/20 corresponds to alpha = log4(5) ~ 1.161; NN/g report 5% of pages carrying 67% of pageviews","P(X > x) = (x_m/x)^alpha","heuristic","Build the cumulative distribution from your own telemetry, cut the roadmap where the curve flattens, and state explicitly that everything below the line is deferred, not deleted.","Do not treat the tail as trivial. Juran renamed it the useful many for exactly this reason, and only 2% of users need this is the most common accessibility failure in product work.","which features should get top-level placement|we cannot fix everything|what should we optimise first|nobody uses that feature","nav|dashboard|settings|search","choice-overload","neutral","The Pareto principle states that, for many events, roughly 80% of the effects come from 20% of the causes. - lawsofux.com","laws-of-ux/05-decision-making-and-simplicity.md#3-pareto-principle"
"mental-model","Mental Model","decision","Users interact with an internal simulation built from other products; when the system disagrees, they experience the system as broken.","none","designer model -> system image -> user model","heuristic","Ask what a stranger would infer from this screen alone. The system image is your only channel, so a model you can convey only by explaining has not been conveyed.","Do not mirror the database schema in the navigation. The team already knows the data model, and users are then asked to learn the org chart to find a setting.","users expect back to go back|nobody understands our terminology|the navigation matches our teams not their tasks|two search bars confuse people","nav|form|settings|search","occams-razor","neutral","A compressed model based on what we think we know about a system and how it works. - lawsofux.com","laws-of-ux/05-decision-making-and-simplicity.md#4-mental-model"
"cognitive-bias","Cognitive Bias","decision","Human judgement deviates from rational choice in predictable, repeatable directions, so the deviations can be measured and designed around.","~180 catalogued biases; Tversky & Kahneman 1974 named three heuristics","","replicated","For every persuasive mechanism in the design, ask whether it would still work if a caption on the same screen explained it. If disclosure kills it, it was running on deception.","Do not use cognitive bias as a post-hoc explanation for a result. With roughly 180 catalogued biases one can be found to rationalise any outcome, which is unfalsifiable and worthless.","is this a dark pattern|users feel tricked|the pre-ticked box keeps converting|the team explains away every usability finding","checkout|pricing|form|settings","","persuasive","A systematic error of thinking or rationality in judgment that influence our perception of the world. - lawsofux.com","laws-of-ux/05-decision-making-and-simplicity.md#5-cognitive-bias"
"paradox-of-the-active-user","Paradox of the Active User","decision","Users do not read documentation; they start immediately and absorb errors, because reading has poor expected value across most software.","none; observational (Carroll & Rosson 1987), no effect size published","","heuristic","Move instruction into empty states, field hints, first-use affordances and error text, and lower the cost of a wrong guess with undo, autosave and non-destructive defaults.","Do not apply this to high-consequence, low-frequency expert domains such as clinical dosing, aviation or tax filing. There exploration is unacceptable and nobody reads is a safety failure.","users skip the onboarding tour|nobody reads the help article|they call support instead of reading the tooltip|the coach marks get clicked through","onboarding|empty-state|form|settings","","protective","Users never read manuals but start using the software immediately. - lawsofux.com","laws-of-ux/05-decision-making-and-simplicity.md#6-paradox-of-the-active-user"
"endowed-progress","Endowed Progress Effect","heuristic","Re-expressing progress the user already made as a head start raises completion, at identical real required effort.","19% (8-stamp) vs 34% (10-stamp with 2 pre-applied), n~300 over 9 months (Nunes & Dreze 2006)","","replicated","Start every checklist and completeness meter non-empty by crediting what the user genuinely already did - account created, email verified - before they first see it.","Do not inflate the denominator. Adding two free steps to a requirement that was eight steps long is fiction, and the tell is whether you would show the user both versions side by side.","the setup checklist starts at zero|users do not begin the profile|activation stalls at step one|the progress bar feels discouraging","onboarding|form|empty-state|settings","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#1-endowed-progress-effect--heuristic"
"social-proof","Social Proof","heuristic","People adapt their behaviour to what others do. The effect is reliable at scale and small in magnitude.","OPOWER energy reports: ATE 1.4-3.3%, unweighted mean ~2% across millions of households (Allcott 2011)","","replicated","Make the proof diagnostic - a review from someone with the same use case, a count drawn from the user's own segment - and test specific against generic rather than proof against none.","Do not render a count with no data source, and never use negative proof. Only 12% of users complete this normalises the very behaviour you were trying to reduce.","should we show how many people bought this|reviews are not converting|the testimonials feel fake|conversion is up but refunds are up too","pricing|checkout|onboarding|empty-state","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#2-social-proof--heuristic"
"scarcity","Scarcity","heuristic","Perceived limited availability raises perceived value, and a transition from abundant to scarce beats constant scarcity.","Worchel, Lee & Adewole 1975: 200 undergraduates, lab only, single population","","contested","Query the count from live inventory at render time and render nothing when the honest number is unimpressive. Show the change in availability rather than a permanent low-stock badge.","Do not ship a timer that survives a page reload. Manufactured scarcity wins the A/B test and loses the cohort, and fabricated urgency is actionable under the EU and UK regimes.","should we add only 2 left|the urgency banner is always on|conversion is up but trust scores fell|users stopped believing our stock counts","pricing|checkout|notification","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#3-scarcity--heuristic"
"framing","Framing","heuristic","Logically equivalent descriptions of the same outcome produce different preferences, and no presentation is unframed.","Tversky & Kahneman 1981, the Asian-disease problem","","replicated","Choose the frame that leaves users best informed, and append one comprehension question to the A/B test so understanding is measured alongside choice share.","Do not defend a winning frame with we did not intend to influence them. You chose a frame either way, and a frame that wins because users misunderstand the offer is deception.","how should we word the pricing|users misunderstand what they signed up for|the copy converts but people complain later|monthly or annual framing","pricing|checkout|form|modal","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#4-framing--heuristic"
"availability","Availability","heuristic","People judge frequency and risk by how easily instances come to mind, so whatever is on screen becomes their evidence base.","Tversky & Kahneman 1973","","replicated","Treat every omission from a comparison as a thumb on the scale, and list the attribute you lose on rather than leaving the user unable to weigh it at all.","Do not make a rare risk vivid in order to sell relief from it. Proportionality to the actual base rate is the line between safety communication and exploitation.","users overreact to the one outage|the comparison table hides our weak spot|people think this is riskier than it is|the roadmap follows the loudest recent incident","pricing|dashboard|table|notification","","protective","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#5-availability--heuristic"
"representativeness","Representativeness","heuristic","Probability is judged by resemblance to a prototype and ignores base rates, producing stereotyping and base-rate neglect.","Kahneman & Tversky 1972; the Linda conjunction problem 1983","","replicated","Surface the base rate wherever the interface asks somebody to judge likelihood: show the actual approval rate beside the application form, the real incidence beside the symptom.","Do not use this one to persuade. Every application to a person is stereotyping with a technical name, and encoding it in a risk model industrialises the bias behind a veneer of objectivity.","the fraud rule flags the wrong people|our screening narrows the pool|users judge by appearance|the model is confident and wrong on one segment","form|dashboard|search","","protective","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#6-representativeness--heuristic"
"anchoring","Anchoring","heuristic","An initial number shifts subsequent judgements, and it keeps working even when the anchor is known to be arbitrary.","3.3 to 7.0 cans under a limit-12 sign (Wansink, Kent & Hoch 1998 - cite with the Wansink misconduct context attached)","","replicated","Anchor on real reference points - an actual former price, a real competitor price, the median order for comparable customers - and audit every anchor as a factual claim.","Do not invent a limit or a was-price. A Limit 12 sign is read as information about supply, so if no supply constraint exists you have made a false statement in a font.","which price should be listed first|the middle tier is not converting|should we show a struck-through price|users anchor on the cheapest plan","pricing|checkout|form","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#7-anchoring--heuristic"
"priming","Priming","heuristic","Exposure to a cue makes related concepts more accessible. Lexical priming replicates; social and behavioural priming did not.","Meyer & Schvaneveldt 1971 holds; Doyen et al. 2012 found nothing for behavioural priming","","null-result","Use lexical priming freely - autocomplete, query suggestions, priming the right conceptual frame before a complex explanation - and expect small effects.","Do not build on behavioural priming. Kahneman conceded in 2017 that he had placed too much faith in underpowered studies on exactly this material, so a large reported lift is an underpowered test.","do trust badges before the payment field help|will this microcopy change behaviour|the security icons tested well on a small sample|can we prime users to feel safe","checkout|form|search","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#8-priming--heuristic"
"sunk-cost-and-loss-aversion","Sunk Cost Fallacy and Loss Aversion","heuristic","Irrecoverable past investment improperly sways forward choices. Losses may loom larger than gains, but the 2x constant does not hold generally.","85% continued a doomed project vs 10% investing fresh (Arkes & Blumer 1985); lambda ~ 2.25 contested (Gal & Rucker 2018)","","contested","Apply the exportability test: if the user can take the accumulated value with them and the product still holds them, the value was real rather than engineered regret.","Do not inventory what a departing user will lose. A streak with no learning value exists only to be lost, and selling a freeze for it monetises anxiety you manufactured.","users stay but never use it|should we add streaks|the cancellation flow lists everything they lose|churn is low and engagement is dead","onboarding|settings|notification|checkout","","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#9-sunk-cost-fallacy-and-loss-aversion--heuristic"
"car-model","CAR Model (Cue-Action-Reward)","technique","A cue followed promptly by a reward strengthens the action until it runs automatically, and variable schedules resist extinction most.","variable-ratio schedules give maximum resistance to extinction (Ferster & Skinner 1957)","cue -> action -> reward","replicated","Build the loop around an action the user would endorse in a calm moment, and measure cue-to-action latency, which shortens as automaticity develops.","Do not reach for a variable reward schedule without asking why a fixed one is insufficient. If the honest answer is because users would stop, you have designed a compulsion.","how do we make this a habit|engagement drops after week two|should notifications be unpredictable|users forget to come back","notification|onboarding|dashboard","stimulus-devaluation|stopping-rules","persuasive","","behavioral-design/03-behavioural-design-toolbox-20-techniques.md#10-car-model-cueactionreward--technique"
