action,unit_cost,rationale,source
modal-dismiss,1.5,"Finding the exit costs more than pressing it, and users hesitate when it is unclear whether dismissing discards their work. If the dismiss control is ambiguous, charge a read-instruction on top and record why.",calibration
tab-switch,2.0,"An in-app tab hides its sibling. Anything the user needed from the tab they left is now a memory-item-carried - count it. If the two tabs are never needed together, this is cheap and the finding is elsewhere.",working-memory
context-switch-app,8.0,"Leaving the product entirely - email client, authenticator, spreadsheet, PDF - and coming back. The task context decays while the user is away and must be rebuilt on return. This is the most expensive routine act in most real flows.",working-memory
wait-under-400ms,0.0,"Free by definition. Inside the Doherty band the user never leaves the loop, so the model must score it as zero - otherwise shaving 300ms off a 200ms response reads as a win it is not. Optimise the waits that are actually costing something.",doherty-threshold
wait-400ms-2s,1.0,"Noticed, but thought flow survives (Miller's second threshold). Needs an indeterminate indicator by ~400ms. If nothing acknowledges the click at all, charge wait-2s-10s instead - unacknowledged waiting feels far longer than it is.",doherty-threshold
wait-2s-10s,4.0,"The user knows they are waiting and is watching a spinner. Costs four clicks because attention is held hostage and nothing is being accomplished. Needs determinate progress with a label by ~2s.",doherty-threshold
wait-over-10s,15.0,"Attention departs and the task state has to be rebuilt on return - the cost is re-acquisition, not the clock. Deliberately far above its share of wall time. A wait this long needs a backgrounded, resumable, notify-me model, not a bigger spinner.",doherty-threshold
memory-item-carried,5.0,"One fact the user must hold across a screen boundary because the system would not hold it: an order number, a code, a value being compared. Five clicks each, so a fourth item costs 20 - which is the point. Past four the flow is over budget, not merely heavy.",working-memory
backtrack,3.0,"Going back a step the user did not intend to revisit - browser back, wizard previous, reopening a completed section. Includes re-orientation. Charge the forward steps again as they are repeated; backtrack is only the reversal itself.",calibration
error-encountered,6.0,"A rejection arriving at the moment of highest commitment. Expensive because of what it does to confidence, not because of the pixels. Charge it once per rejection, even when several fields fail at once - one submit, one hit.",calibration
error-recovered,3.0,"Fixed overhead of reading the message, working out what it actually wants, and re-committing. The literal re-typing and re-clicking are counted normally on top. If the user could not recover and abandoned, do not charge this - report the abandonment.",calibration
undo-single-action,1.0,"One visible undo that fully reverses the act. Cheap on purpose: a flow with real undo is a cheaper flow, and the model should reward shipping it. Requires the undo to be discoverable at the moment of the mistake, not buried in a menu.",calibration
undo-multi-step,6.0,"No single undo exists, so the user reverses by hand across several screens and can never be sure they got it all. That residual uncertainty is most of the cost. If reversal is not possible at all, it is irreversible-action instead.",calibration
irreversible-action,12.0,"Deliberately far larger than the click that performs it. Fear is not local: once a user knows this screen can destroy something, they slow down, re-read, and second-guess everywhere on it. Charge it wherever the user cannot tell that an act is safe, not only where it truly is not.",cognitive-load
confirmation-dialog,2.5,"A modal plus a decision, and the weaker mitigation - it lowers the slip rate but not the fear, so it does NOT discount irreversible-action. Charge both. Undo is the cheaper fix and usually the right proposal.",calibration
scroll-to-find,2.5,"Scrolling while visually hunting for something not currently on screen. Distinct from scroll-screen, which is just travel. Finding a control routinely costs more than moving to it, and no motor law covers that half - this row is where it lands.",calibration
search-query,4.0,"Formulating a query is recall, and recall is the expensive mode. Covers composing and committing the search; count keystroke-char for the query text and a select-* row for picking from the results. If the user searched because navigation failed them, that is the finding.",working-memory
read-instruction,3.0,"Per block of helper text, tooltip, or inline explanation the user must read to proceed. Pure extraneous load - if the label had been clear, this would be zero. Do not charge for text the user could skip and still succeed.",cognitive-load
decision-binary,1.6,"The Decision component is scored at 1.0 per bit, so each decision-* weight is just log2(n+1). Two options is log2(3) = 1.58. Charge it at every genuine fork, including the ones with no visible control.",hicks-law
decision-3-to-7,2.6,"Bucket default at n=5: log2(6) = 2.58. When you know the real option count, compute log2(n+1) and use that instead - the buckets exist for when the count is fuzzy, not to replace arithmetic you can do.",hicks-law
decision-over-7,3.7,"Bucket default at n=12: log2(13) = 3.70. DOUBLE it when the user must read and comprehend each option rather than recognise it at a glance - for unfamiliar terms the cost is closer to linear than logarithmic, and the log understates it badly.",hicks-law
_note-tunable,0.0,"These weights are tunable and carry no more precision than the word calibration admits. What matters is that the SAME weights are used on both sides of a before/after comparison - a 40-point drop is a real claim, a 40-point total on its own is not. Change a weight if your product's evidence says so, then re-score both sides.",calibration
