"id_a","id_b","tension","resolution_rule"
"hicks-law","pareto-principle","Hick argues for fewer options while Pareto exposes a long tail of rarely-used features that a small number of users depend on completely.","Rank by measured usage, give the head top-level placement, and move the tail exactly one click down - never off the surface. Delete a feature only when telemetry shows zero use across two full billing cycles and no accessibility, compliance, or migration path depends on it. Below the line means deferred, not deleted."
"doherty-threshold","teslers-law","Hitting 400 ms usually means precomputing or guessing, which moves work to the system and can move correction work straight back to the user.","Spend system complexity on latency freely while failures stay silent and self-recovering. If the fast path can produce a wrong result the user has to notice and repair, measure time to a correct outcome instead of time to first paint - and if that number got worse, the optimisation failed."
"doherty-threshold","framing","Feeling instant tempts optimistic UI and staged progress, which describe work the system is not doing.","Acknowledge the press locally within 100 ms, because that reports a real event. Progress may pace real work and may not depict steps that are not running. Optimistic UI is allowed only where a failure rolls the view back visibly and says what happened. A spinner over a finished operation is a false statement."
"jakobs-law","von-restorff-effect","Jakob says work like everything else the user already knows, Von Restorff says the item that differs is the one found and remembered.","Conform on every interaction mechanic - select, scroll, back, undo, submit, keyboard semantics - and spend the whole distinctiveness budget on appearance, content and capability. Never ship a near-miss: if you break a convention, break it visibly, one at a time, and instrument it."
"jakobs-law","occams-razor","The conventional control is often not the smallest one, and the simplest thing on the screen can be the thing nobody recognises.","Convention wins for anything the user has done ten thousand times elsewhere. Occam only adjudicates between designs the user has no prior for. A simpler replacement for a standard control ships only after it beats the standard in a task test, never on a screenshot."
"teslers-law","occams-razor","Occam says prefer the design with fewest parts, Tesler says the inherent complexity cannot be removed, only allocated.","Split the complexity first. Delete any element whose absence nobody can name a user-visible consequence for - that part is accidental. For everything left, say who now does the work: if the answer is support, the customer's ops team, or an integration partner, it is a transfer rather than a simplification and needs a budget line or a rejection."
"law-of-pragnanz","von-restorff-effect","Maximum regularity is the most readable layout and leaves nothing available to be the odd one out.","Regularise the whole field, then break it in exactly one place per viewport with at most one secondary break. If two things are isolated, neither is. If a squint test shows three or more, you have a loud page and no emphasis."
"law-of-proximity","law-of-common-region","A border groups more strongly than a gap, so a card silently overrides the spacing scale you set.","Escalate in this order - gap, background tint, border, elevation - and move up a rung only after a squint test shows the previous rung failing. Draw a region only when you can name the entity it represents; if you cannot name it, it was spacing."
"law-of-proximity","law-of-uniform-connectedness","A connector defeats a gap, so one rule, line, or shared edge overrides the spacing you used to group everything else.","Spend a connector only on a relation carrying more than membership: sequence, hierarchy, dependency, shared state. Express plain membership with spacing. If a line is drawn and you cannot say what it asserts beyond these go together, delete the line."
"law-of-similarity","law-of-common-region","Two identically styled controls in two different cards read as unrelated, so the shared style now asserts a relation the layout denies.","Inside a region, appearance encodes behaviour and must stay consistent. Across regions, appearance encodes nothing - do not rely on it to group. If two same-styled controls in different regions behave differently, restyle one: similarity is the only grouping cue that can assert something false."
"law-of-similarity","von-restorff-effect","Emphasis works by making one item look different, which is the same channel that encodes this behaves differently.","Emphasise with a token that already means what you intend - the primary action style, the recommended badge - and never by borrowing a style that belongs to another behaviour class. If the highlight would make a secondary button look destructive or a disabled row look active, change position, size, or container instead of colour."
"aesthetic-usability-effect","occams-razor","A polished screen is rated as more usable, so composition wins arguments that fewest-parts should have won.","Settle structure at low fidelity, in greyscale, before either can vote. Once fidelity is applied, an element survives only if someone names what breaks for the user without it. It looks better with it is not an answer."
"aesthetic-usability-effect","cognitive-bias","Beauty suppresses reported problems while leaving task failure exactly where it was, so a pretty prototype returns a short issue log and a high satisfaction score.","Rank behavioural evidence above self-report and record them in separate columns, never one blended score. Hold visual fidelity constant across compared arms. When no problems reported and task failed disagree, believe the task result and log the gap as the signature of this effect rather than as noise."
"goal-gradient","parkinsons-law","Visible progress motivates, which tempts you to add steps so the bar has somewhere to move, while Parkinson says give the task the smallest honest container.","Fix the step count first at the minimum the task requires, then add granularity inside those steps. Never split one screen into two to make a progress bar look better, and never let the denominator grow after the user has seen it - a total that rises mid-flow inverts the effect into betrayal."
"zeigarnik-effect","flow","The open loop that pulls a lapsed user back is the interruption that flushes the buffer of a user already working.","Open loops at task boundaries only. Never surface a re-engagement cue while an input is focused, a form is dirty, or a long-running job is on screen. Resumption belongs in the empty state and on the entry screen, not on top of live work."
"peak-end-rule","flow","A designed ending adds a moment at exactly the point where an absorbed user wants to keep going.","Celebrate only at the end of something the user themselves would call finished, and make it dismissible along the path they were already taking. Inside a repeated task - the tenth invoice of the morning - the correct ending is a quiet confirmation and the cursor already in the next field."
"peak-end-rule","parkinsons-law","A memorable ending costs screen time, and Parkinson says finish inside the container you promised.","The ending may not add a step. Spend it on the screen the flow already ends on: the outcome, what happens next, and the one action they are most likely to want. If the confirmation needs its own page in order to feel good, it is not an ending, it is an extra step."
"flow","stopping-rules","Flow argues for removing every interruption, and stopping rules exist because a session with no endpoint runs on fatigue rather than intention.","Protect flow inside a task the user started and bounded - no modal, no unfed wait over 400 ms, no forced mode switch. Give every open-ended surface a designed endpoint: end-of-feed marker, caught-up state, session summary. The test is whether the user could have named where this ends when they started; if not, you owe them an end."
"flow","gamification","Game layers assume a player who chose to play, and in mandated software the user cannot decline, so a leaderboard is measurement rather than motivation.","Ask whether the user can stop using this product without losing their job. If they cannot, ship private progress only - no public ranking, no peer comparison, no streak breakable by leave or illness. Social comparison requires opt-in with a one-click exit that costs the user nothing."
"choice-overload","pareto-principle","Pareto says a few options carry most of the value, which reads as licence to cut the assortment choice overload was worried about.","Stage, do not shrink. Default to the head of the distribution and put the tail behind one visible labelled control - all 47 plans, advanced options. Removing a tail option needs evidence that nobody chose it, not evidence that few did."
"occams-razor","mental-model","The fewest-parts design is usually the one that dropped the label, step, or object the user's model needed.","Remove an element only if a stranger reading this screen alone can still say what it does and what will happen when they act. If keeping them oriented requires a sentence you cannot put on the screen, the element was carrying the model - put it back."
"paradox-of-the-active-user","cognitive-load-balancing","Progressive disclosure cuts load per screen, and a user who never reads and learns by clicking will not find what you hid.","Hide a control only if the task can be completed without it, and leave the disclosure affordance visible with a text label rather than an icon alone. Then check the route in: if in-app search and support tickets are how people reach the hidden control, the disclosure failed - un-hide it."
"social-proof","representativeness","People like you chose this converts precisely because it works by resemblance to a prototype, which is stereotyping with a conversion rate attached.","Segment proof by what the user did - same use case, same plan, same task - never by who they are. If the segmenting attribute is a protected characteristic or a proxy for one such as name, photo, postcode, email domain, or inferred gender, show the ungrouped number instead."
"scarcity","availability","Scarcity works by making a limit vivid, and vividness is exactly what makes a rare thing feel likely.","Render the count from live inventory at request time and render nothing when the honest number is unimpressive. A timer must survive a reload with the same end time or not exist at all. If you cannot point at the row the number came from, delete the component."
"car-model","stimulus-devaluation","One builds the cue-action-reward loop and the other breaks it, and both are correct depending on whose goal the habit serves.","Ask whether the user would endorse this habit in a calm moment away from the product. Build the loop for actions they would - saving, backing up, filing expenses. Break it for actions they would not. Never apply devaluation friction to leaving, exporting, or cancelling: that is the mechanism turned against the person it was meant to protect."
"car-model","stopping-rules","A habit loop wants the next cue ready the moment the reward lands, and a stopping rule wants a visible end.","Fire cues at the start of a session and never inside one, at most one entry cue per surface per day, and let the session end where the content ends. If the loop only works when a cue arrives at the instant the previous reward lands, you have designed a compulsion rather than a habit."
"reward-learning","gamification","Points raise engagement, and extrinsic reward attached to an activity the user already valued reduces the intrinsic motivation that was doing the work.","Reinforce only behaviour that is effortful and unrewarding in itself. Before rollout, commit to the removal test: pull the reward from a holdout after a month. If behaviour drops below the pre-launch baseline you built dependence rather than motivation, and the feature comes out."
